State,ZipCode,TaxRegionName,StateRate,EstimatedCombinedRate,EstimatedCountyRate,EstimatedCityRate,EstimatedSpecialRate,RiskLevel
AK,99501,"ANCHORAGE BOROUGH",0.000000,0.000000,0.000000,0,0,1
AK,99502,"ANCHORAGE BOROUGH",0.000000,0.000000,0.000000,0,0,1
AK,99503,"ANCHORAGE BOROUGH",0.000000,0.000000,0.000000,0,0,1
AK,99504,"ANCHORAGE BOROUGH",0.000000,0.000000,0.000000,0,0,1
AK,99505,"ANCHORAGE BOROUGH",0.000000,0.000000,0.000000,0,0,1
AK,99506,"ANCHORAGE BOROUGH",0.000000,0.000000,0.000000,0,0,1
AK,99507,"ANCHORAGE BOROUGH",0.000000,0.000000,0.000000,0,0,1
AK,99508,"ANCHORAGE BOROUGH",0.000000,0.000000,0.000000,0,0,1
AK,99509,"ANCHORAGE BOROUGH",0.000000,0.000000,0.000000,0,0,1
AK,99510,"ANCHORAGE BOROUGH",0.000000,0.000000,0.000000,0,0,1
AK,99511,"ANCHORAGE BOROUGH",0.000000,0.000000,0.000000,0,0,1
AK,99513,"ANCHORAGE BOROUGH",0.000000,0.000000,0.000000,0,0,1
AK,99514,"ANCHORAGE BOROUGH",0.000000,0.000000,0.000000,0,0,1
AK,99515,"ANCHORAGE BOROUGH",0.000000,0.000000,0.000000,0,0,1
AK,99516,"ANCHORAGE BOROUGH",0.000000,0.000000,0.000000,0,0,1
AK,99517,"ANCHORAGE BOROUGH",0.000000,0.000000,0.000000,0,0,1
AK,99518,"ANCHORAGE BOROUGH",0.000000,0.000000,0.000000,0,0,1
AK,99519,"ANCHORAGE BOROUGH",0.000000,0.000000,0.000000,0,0.000000,1
AK,99520,"ANCHORAGE BOROUGH",0.000000,0.000000,0.000000,0,0,1
AK,99521,"ANCHORAGE BOROUGH",0.000000,0.000000,0.000000,0,0,1
AK,99522,"ANCHORAGE BOROUGH",0.000000,0.000000,0.000000,0,0,1
AK,99523,"ANCHORAGE BOROUGH",0.000000,0.000000,0.000000,0,0,1
AK,99524,"ANCHORAGE BOROUGH",0.000000,0.000000,0.000000,0,0,1
AK,99529,"ANCHORAGE BOROUGH",0.000000,0.000000,0.000000,0,0.000000,1
AK,99530,"ANCHORAGE BOROUGH",0.000000,0.000000,0.000000,0,0.000000,1
AK,99540,"ANCHORAGE BOROUGH",0.000000,0.000000,0.000000,0,0,3
AK,99545,ALASKA,0.000000,0.000000,0,0,0.000000,1
AK,99546,ADAK,0.000000,0.040000,0,0.040000,0,1
AK,99547,ATKA,0.000000,0.000000,0,0.000000,0,1
AK,99548,"LAKE AND PENINSULA BOROUGH",0.000000,0.000000,0.000000,0,0,1
AK,99549,"PORT HEIDEN",0.000000,0.000000,0.000000,0.000000,0,1
AK,99550,"KODIAK ISLAND BOROUGH",0.000000,0.000000,0.000000,0.000000,0,1
AK,99551,ALASKA,0.000000,0.000000,0,0,0.000000,1
AK,99552,AKIAK,0.000000,0.000000,0,0.000000,0,1
AK,99553,AKUTAN,0.000000,0.000000,0.000000,0.000000,0,1
AK,99554,ALAKANUK,0.000000,0.040000,0,0.040000,0,1
AK,99555,ALEKNAGIK,0.000000,0.050000,0,0.050000,0,1
AK,99556,"KENAI PENINSULA BURROUGH",0.000000,0.030000,0.030000,0,0,2
AK,99557,ANIAK,0.000000,0.020000,0,0.020000,0,3
AK,99558,ANVIK,0.000000,0.000000,0,0.000000,0,1
AK,99559,BETHEL,0.000000,0.060000,0,0.060000,0,4
AK,99561,CHEFORNAK,0.000000,0.020000,0,0.020000,0,1
AK,99563,CHEVAK,0.000000,0.030000,0,0.030000,0,1
AK,99564,CHIGNIK,0.000000,0.020000,0.000000,0.020000,0,1
AK,99565,KENAI,0.000000,0.060000,0.030000,0.030000,0,1
AK,99566,"ALASKA STATE",0.000000,0.000000,0,0,0,1
AK,99567,"ANCHORAGE BOROUGH",0.000000,0.000000,0.000000,0,0,1
AK,99568,"KENAI PENINSULA BURROUGH",0.000000,0.030000,0.030000,0,0,1
AK,99569,"CLARKS POINT",0.000000,0.060000,0,0.060000,0,1
AK,99571,"COLD BAY",0.000000,0.000000,0.000000,0.000000,0,1
AK,99572,"KENAI PENINSULA BURROUGH",0.000000,0.030000,0.030000,0,0,1
AK,99573,"ALASKA STATE",0.000000,0.000000,0,0,0,1
AK,99574,CORDOVA,0.000000,0.060000,0,0.060000,0,2
AK,99575,"ALASKA STATE",0.000000,0.000000,0,0,0,1
AK,99576,DILLINGHAM,0.000000,0.060000,0,0.060000,0,3
AK,99577,"ANCHORAGE BOROUGH",0.000000,0.000000,0.000000,0,0,1
AK,99578,EEK,0.000000,0.020000,0,0.020000,0,1
AK,99579,EGEGIK,0.000000,0.000000,0.000000,0.000000,0,1
AK,99580,EKWOK,0.000000,0.000000,0,0.000000,0,1
AK,99581,EMMONAK,0.000000,0.040000,0,0.040000,0,1
AK,99583,"FALSE PASS",0.000000,0.030000,0.000000,0.030000,0,1
AK,99585,MARSHALL,0.000000,0.040000,0,0.040000,0,1
AK,99586,"ALASKA STATE",0.000000,0.000000,0,0,0,4
AK,99587,"ANCHORAGE BOROUGH",0.000000,0.000000,0.000000,0,0,2
AK,99588,"ALASKA STATE",0.000000,0.000000,0,0,0,1
AK,99589,"GOODNEWS BAY",0.000000,0.000000,0,0.000000,0,1
AK,99590,GRAYLING,0.000000,0.000000,0,0.000000,0,1
AK,99591,"SAINT GEORGE",0.000000,0.000000,0,0.000000,0,2
AK,99599,"ANCHORAGE BOROUGH",0.000000,0.000000,0.000000,0,0,1
AK,99602,"HOLY CROSS",0.000000,0.000000,0,0.000000,0,1
AK,99603,HOMER,0.000000,0.078500,0.030000,0.048500,0,7
AK,99604,"HOOPER BAY",0.000000,0.050000,0,0.050000,0,1
AK,99605,"KENAI PENINSULA BURROUGH",0.000000,0.030000,0.030000,0,0,1
AK,99606,"LAKE PENINSULA BRG",0.000000,0.000000,0.000000,0,0.000000,1
AK,99607,"UPPER KALSKAG",0.000000,0.000000,0,0.000000,0,1
AK,99608,"KODIAK ISLAND BOROUGH",0.000000,0.000000,0.000000,0,0,1
AK,99609,"ALASKA STATE",0.000000,0.000000,0,0,0,1
AK,99610,"KENAI PENINSULA BURROUGH",0.000000,0.030000,0.030000,0,0,1
AK,99611,KENAI,0.000000,0.060000,0.030000,0.030000,0,2
AK,99612,"KING COVE",0.000000,0.060000,0.000000,0.060000,0,1
AK,99613,"LAKE AND PENINSULA BOROUGH",0.000000,0.000000,0.000000,0,0,2
AK,99614,ALASKA,0.000000,0.000000,0,0,0.000000,1
AK,99615,KODIAK,0.000000,0.070000,0.000000,0.070000,0,3
AK,99619,KODIAK,0.000000,0.070000,0.000000,0.070000,0,1
AK,99620,KOTLIK,0.000000,0.030000,0,0.030000,0,1
AK,99621,KWETHLUK,0.000000,0.050000,0,0.050000,0,1
AK,99622,ALASKA,0.000000,0.000000,0,0,0.000000,1
AK,99623,"MATANUSKA-SUSITNA BOROUGH",0.000000,0.000000,0.000000,0,0,1
AK,99624,"LARSEN BAY",0.000000,0.030000,0.000000,0.030000,0,1
AK,99625,"LAKE AND PENINSULA BOROUGH",0.000000,0.000000,0.000000,0,0,1
AK,99626,"LOWER KALSKAG",0.000000,0.000000,0,0.000000,0,1
AK,99627,ALASKA,0.000000,0.000000,0,0,0.000000,1
AK,99628,MANOKOTAK,0.000000,0.020000,0,0.020000,0,1
AK,99630,"ALASKA STATE",0.000000,0.000000,0,0,0,1
AK,99631,"KENAI PENINSULA BURROUGH",0.000000,0.030000,0.030000,0,0,1
AK,99632,"MOUNTAIN VILLAGE",0.000000,0.030000,0,0.030000,0,1
AK,99633,"BRISTOL BAY BOROUGH",0.000000,0.000000,0.000000,0,0,1
AK,99634,NAPAKIAK,0.000000,0.050000,0,0.050000,0,1
AK,99635,KENAI,0.000000,0.060000,0.030000,0.030000,0,2
AK,99636,"NEW STUYAHOK",0.000000,0.000000,0,0.000000,0,1
AK,99637,"TOKSOOK BAY",0.000000,0.020000,0,0.020000,0,2
AK,99638,"ALASKA STATE",0.000000,0.000000,0,0,0,1
AK,99639,"KENAI PENINSULA BURROUGH",0.000000,0.030000,0.030000,0,0,1
AK,99640,"LAKE AND PENINSULA BOROUGH",0.000000,0.000000,0.000000,0,0,1
AK,99641,NUNAPITCHUK,0.000000,0.040000,0,0.040000,0,1
AK,99643,"OLD HARBOR",0.000000,0.030000,0.000000,0.030000,0,1
AK,99644,OUZINKIE,0.000000,0.030000,0.000000,0.030000,0,1
AK,99645,"MATANUSKA-SUSITNA BOROUGH",0.000000,0.000000,0.000000,0,0,1
AK,99647,"LAKE AND PENINSULA BOROUGH",0.000000,0.000000,0.000000,0,0,1
AK,99648,"LAKE AND PENINSULA BOROUGH",0.000000,0.000000,0.000000,0,0,1
AK,99649,"PILOT POINT",0.000000,0.000000,0.000000,0.000000,0,1
AK,99650,"PILOT STATION",0.000000,0.040000,0,0.040000,0,1
AK,99651,PLATINUM,0.000000,0.000000,0,0.000000,0,1
AK,99652,"MATANUSKA-SUSITNA BOROUGH",0.000000,0.000000,0.000000,0,0,2
AK,99653,"LAKE AND PENINSULA BOROUGH",0.000000,0.000000,0.000000,0,0,1
AK,99654,"MATANUSKA-SUSITNA BOROUGH",0.000000,0.000000,0.000000,0,0,1
AK,99655,QUINHAGAK,0.000000,0.030000,0,0.030000,0,1
AK,99656,ALASKA,0.000000,0.000000,0,0,0.000000,1
AK,99657,"RUSSIAN MISSION",0.000000,0.000000,0,0.000000,0,1
AK,99658,"ST. MARY'S",0.000000,0.030000,0,0.030000,0,1
AK,99659,GRAYLING,0.000000,0.000000,0,0.000000,0,2
AK,99660,"SAINT PAUL",0.000000,0.035000,0,0.035000,0,4
AK,99661,"SAND POINT",0.000000,0.040000,0.000000,0.040000,0,1
AK,99662,"SCAMMON BAY",0.000000,0.060000,0,0.060000,0,1
AK,99663,SELDOVIA,0.000000,0.075000,0.030000,0.045000,0,1
AK,99664,"KENAI PENINSULA BURROUGH",0.000000,0.030000,0.030000,0,0,1
AK,99665,SHAGELUK,0.000000,0.000000,0,0.000000,0,1
AK,99666,"NUNAM IQUA",0.000000,0.040000,0,0.040000,0,1
AK,99667,"MATANUSKA-SUSITNA BOROUGH",0.000000,0.000000,0.000000,0,0,1
AK,99668,"ALASKA STATE",0.000000,0.000000,0,0,0,1
AK,99669,"KENAI PENINSULA BURROUGH",0.000000,0.030000,0.030000,0,0,1
AK,99670,"BRISTOL BAY BOROUGH",0.000000,0.000000,0.000000,0,0,1
AK,99671,STEBBINS,0.000000,0.040000,0,0.040000,0,1
AK,99672,"KENAI PENINSULA BURROUGH",0.000000,0.030000,0.030000,0,0,1
AK,99674,"MATANUSKA-SUSITNA BOROUGH",0.000000,0.000000,0.000000,0,0,2
AK,99675,ALASKA,0.000000,0.000000,0,0,0.000000,1
AK,99676,"MATANUSKA-SUSITNA BRG",0.000000,0.030000,0.000000,0,0.030000,1
AK,99677,ALASKA,0.000000,0.000000,0,0,0.000000,2
AK,99678,TOGIAK,0.000000,0.020000,0,0.020000,0,1
AK,99679,BETHEL,0.000000,0.060000,0,0.060000,0,2
AK,99680,ALASKA,0.000000,0.000000,0,0,0.000000,2
AK,99681,ALASKA,0.000000,0.000000,0,0,0.000000,1
AK,99682,"KENAI PENINSULA BURROUGH",0.000000,0.030000,0.030000,0,0,1
AK,99683,"MATANUSKA-SUSITNA BOROUGH",0.000000,0.000000,0.000000,0,0,2
AK,99684,UNALAKLEET,0.000000,0.050000,0,0.050000,0,1
AK,99685,UNALASKA,0.000000,0.030000,0,0.030000,0,1
AK,99686,VALDEZ,0.000000,0.000000,0,0.000000,0,1
AK,99687,WASILLA,0.000000,0.025000,0.000000,0.025000,0,1
AK,99688,"MATANUSKA-SUSITNA BOROUGH",0.000000,0.000000,0.000000,0,0,1
AK,99689,YAKUTAT,0.000000,0.050000,0,0.050000,0,1
AK,99690,NIGHTMUTE,0.000000,0.020000,0,0.020000,0,2
AK,99691,NIKOLAI,0.000000,0.000000,0,0.000000,0,1
AK,99692,UNALASKA,0.000000,0.030000,0,0.030000,0,2
AK,99693,WHITTIER,0.000000,0.050000,0,0.050000,0,3
AK,99694,HOUSTON,0.000000,0.020000,0.000000,0.020000,0,1
AK,99701,FAIRBANKS,0.000000,0.000000,0.000000,0.000000,0,1
AK,99702,"FAIRBANKS NORTH STAR BOROUGH",0.000000,0.000000,0.000000,0,0,1
AK,99703,"FORT WAINWRIGHT",0.000000,0.000000,0.000000,0.000000,0.000000,1
AK,99704,"CLEAR AIR FORCE BASE",0.000000,0.000000,0.000000,0.000000,0.000000,2
AK,99705,"FAIRBANKS NORTH STAR BOROUGH",0.000000,0.000000,0.000000,0,0,2
AK,99706,FAIRBANKS,0.000000,0.000000,0.000000,0.000000,0,1
AK,99707,FAIRBANKS,0.000000,0.000000,0.000000,0.000000,0,1
AK,99708,"FAIRBANKS NORTH STAR BOROUGH",0.000000,0.000000,0.000000,0,0,1
AK,99709,"FAIRBANKS NORTH STAR BOROUGH",0.000000,0.000000,0.000000,0,0,1
AK,99712,"FAIRBANKS NORTH STAR BOROUGH",0.000000,0.000000,0.000000,0,0,1
AK,99714,"FAIRBANKS NORTH STAR BOROUGH",0.000000,0.000000,0.000000,0,0,2
AK,99720,ALLAKAKET,0.000000,0.000000,0,0.000000,0,1
AK,99721,"ANAKTUVUK PASS",0.000000,0.000000,0.000000,0.000000,0,1
AK,99722,"ALASKA STATE",0.000000,0.000000,0,0,0,1
AK,99723,UTQIAGVIK,0.000000,0.000000,0.000000,0.000000,0,1
AK,99724,ALASKA,0.000000,0.000000,0,0,0.000000,1
AK,99725,"FAIRBANKS NORTH STAR BOROUGH",0.000000,0.000000,0.000000,0,0,1
AK,99726,BETTLES,0.000000,0.000000,0,0.000000,0,1
AK,99727,BUCKLAND,0.000000,0.060000,0.000000,0.060000,0,1
AK,99729,"DENALI BOROUGH",0.000000,0.000000,0.000000,0,0,1
AK,99730,"ALASKA STATE",0.000000,0.000000,0,0,0,1
AK,99731,"ALASKA STATE",0.000000,0.000000,0,0,0,1
AK,99732,"ALASKA STATE",0.000000,0.000000,0,0,0,1
AK,99733,"ALASKA STATE",0.000000,0.000000,0,0,0,1
AK,99734,"NORTH SLOPE BOROUGH",0.000000,0.000000,0.000000,0,0,1
AK,99736,"NORTHWEST ARCTIC BOROUGH",0.000000,0.000000,0.000000,0,0,1
AK,99737,"ALASKA STATE",0.000000,0.000000,0,0,0,2
AK,99738,EAGLE,0.000000,0.000000,0,0.000000,0,1
AK,99739,"ALASKA STATE",0.000000,0.000000,0,0,0,1
AK,99740,"FORT YUKON",0.000000,0.030000,0,0.030000,0,1
AK,99741,GALENA,0.000000,0.030000,0,0.030000,0,1
AK,99742,GAMBELL,0.000000,0.030000,0,0.030000,0,1
AK,99743,"DENALI BOROUGH",0.000000,0.000000,0.000000,0,0,1
AK,99744,ANDERSON,0.000000,0.000000,0.000000,0.000000,0,2
AK,99745,HUGHES,0.000000,0.000000,0,0.000000,0,1
AK,99746,HUSLIA,0.000000,0.000000,0,0.000000,0,1
AK,99747,KAKTOVIK,0.000000,0.000000,0.000000,0.000000,0,1
AK,99748,KALTAG,0.000000,0.000000,0,0.000000,0,1
AK,99749,"NORTHWEST ARCTIC BOROUGH",0.000000,0.000000,0.000000,0,0,1
AK,99750,KIVALINA,0.000000,0.020000,0.000000,0.020000,0,1
AK,99751,KOBUK,0.000000,0.030000,0.000000,0.030000,0,1
AK,99752,KOTZEBUE,0.000000,0.060000,0.000000,0.060000,0,1
AK,99753,KOYUK,0.000000,0.030000,0,0.030000,0,1
AK,99754,"ALASKA STATE",0.000000,0.000000,0,0,0,1
AK,99755,"DENALI BOROUGH",0.000000,0.000000,0.000000,0,0,1
AK,99756,"ALASKA STATE",0.000000,0.000000,0,0,0,1
AK,99757,"ALASKA STATE",0.000000,0.000000,0,0,0,1
AK,99758,ALASKA,0.000000,0.000000,0,0,0.000000,1
AK,99759,"NORTH SLOPE BOROUGH",0.000000,0.000000,0.000000,0,0.000000,2
AK,99760,NENANA,0.000000,0.040000,0,0.040000,0,1
AK,99761,"NORTHWEST ARCTIC BOROUGH",0.000000,0.000000,0.000000,0,0,1
AK,99762,NOME,0.000000,0.050000,0,0.050000,0,4
AK,99763,NOORVIK,0.000000,0.040000,0.000000,0.040000,0,1
AK,99764,"ALASKA STATE",0.000000,0.000000,0,0,0,1
AK,99765,NULATO,0.000000,0.000000,0,0.000000,0,1
AK,99766,"POINT HOPE",0.000000,0.030000,0.000000,0.030000,0,1
AK,99767,"ALASKA STATE",0.000000,0.000000,0,0,0,1
AK,99768,RUBY,0.000000,0.000000,0,0.000000,0,1
AK,99769,SAVOONGA,0.000000,0.040000,0,0.040000,0,1
AK,99770,SELAWIK,0.000000,0.065000,0.000000,0.065000,0,1
AK,99771,SHAKTOOLIK,0.000000,0.040000,0,0.040000,0,1
AK,99772,SHISHMAREF,0.000000,0.030000,0,0.030000,0,1
AK,99773,SHUNGNAK,0.000000,0.020000,0.000000,0.020000,0,1
AK,99774,ALASKA,0.000000,0.000000,0,0,0.000000,1
AK,99775,"FAIRBANKS NORTH STAR BOROUGH",0.000000,0.000000,0.000000,0,0,1
AK,99776,"ALASKA STATE",0.000000,0.000000,0,0,0,2
AK,99777,TANANA,0.000000,0.020000,0,0.020000,0,1
AK,99778,TELLER,0.000000,0.030000,0,0.030000,0,1
AK,99780,"ALASKA STATE",0.000000,0.000000,0,0,0,2
AK,99781,"ALASKA STATE",0.000000,0.000000,0,0,0,1
AK,99782,WAINWRIGHT,0.000000,0.000000,0.000000,0.000000,0,1
AK,99783,WALES,0.000000,0.030000,0,0.030000,0,1
AK,99784,"WHITE MOUNTAIN",0.000000,0.010000,0,0.010000,0,1
AK,99785,"BREVIG MISSION",0.000000,0.030000,0,0.030000,0,1
AK,99786,AMBLER,0.000000,0.030000,0.000000,0.030000,0,1
AK,99788,ALASKA,0.000000,0.000000,0,0,0.000000,1
AK,99789,NUIQSUT,0.000000,0.000000,0.000000,0.000000,0,2
AK,99790,FAIRBANKS,0.000000,0.000000,0.000000,0.000000,0,1
AK,99791,ATQASUK,0.000000,0.000000,0.000000,0.000000,0,2
AK,99801,"JUNEAU BURROUGH",0.000000,0.050000,0.050000,0,0,1
AK,99820,ANGOON,0.000000,0.030000,0,0.030000,0,1
AK,99824,"JUNEAU BURROUGH",0.000000,0.050000,0.050000,0,0,2
AK,99825,"ALASKA STATE",0.000000,0.000000,0,0,0,1
AK,99826,GUSTAVUS,0.000000,0.030000,0,0.030000,0,1
AK,99827,"HAINES BURROUGH",0.000000,0.040000,0.040000,0,0,1
AK,99829,HOONAH,0.000000,0.065000,0,0.065000,0,1
AK,99830,KAKE,0.000000,0.050000,0,0.050000,0,1
AK,99832,PELICAN,0.000000,0.040000,0,0.040000,0,1
AK,99833,"PETERSBURG BOROUGH",0.000000,0.060000,0.060000,0,0,2
AK,99835,"SITKA BURROUGH",0.000000,0.060000,0.060000,0,0,1
AK,99836,"PORT ALEXANDER",0.000000,0.040000,0,0.040000,0,2
AK,99840,SKAGWAY,0.000000,0.050000,0,0.050000,0,1
AK,99841,"TENAKEE SPRINGS",0.000000,0.020000,0,0.020000,0,1
AK,99901,KETCHIKAN,0.000000,0.065000,0.025000,0.040000,0,7
AK,99903,WRANGELL,0.000000,0.070000,0,0.070000,0,4
AK,99918,"COFFMAN COVE",0.000000,0.000000,0,0.000000,0,4
AK,99919,"ALASKA STATE",0.000000,0.000000,0,0,0,4
AK,99921,CRAIG,0.000000,0.050000,0,0.050000,0,1
AK,99922,HYDABURG,0.000000,0.060000,0,0.060000,0,1
AK,99923,"ALASKA STATE",0.000000,0.000000,0,0,0,1
AK,99925,KLAWOCK,0.000000,0.065000,0,0.065000,0,1
AK,99926,"ALASKA STATE",0.000000,0.000000,0,0,0,1
AK,99927,"ALASKA STATE",0.000000,0.000000,0,0,0,1
AK,99928,"KETCHIKAN GATEWAY BURROUGH",0.000000,0.025000,0.025000,0,0,1
AK,99929,WRANGELL,0.000000,0.070000,0,0.070000,0,1
